code_insee_com,nom_com,niveau_vie_median_2021,nb_logements_2022,Pourcentage_appartements_2022,pourcentage_locataires_dans_résidence_principale_2022,evolution_annuelle_moy_de_la_population_entre_2017_et_ 2023_en_pourcentage,population_municipale_2023,Taux_activite_tranche_15-64_en_2022
63085,Chapdes-Beaufort,21760,664,5.8,14.7,0.6,1140,78.9
63086,La Chapelle-Agnon,19870,401,2.7,6.3,0.71,361,70.8
63087,La Chapelle-Marcousse,N/A - secret statistique,63,4.5,9.4,0,63,83.8
63088,La Chapelle-sur-Usson,N/A - secret statistique,81,0,2.2,2.34,85,77.6
63089,Chappes,25490,686,2,14.5,-0.49,1607,79
63090,Chaptuzat,25270,248,2.1,4.2,-0.2,485,74.4
63091,Charbonnier-les-Mines,20470,527,6.8,25.2,0.59,930,76.4
63092,Charbonnières-les-Varennes,25130,843,4,13.9,1.9,1935,81.2
63093,Charbonnières-les-Vieilles,22850,687,2.1,11.7,1.42,1170,81.1
63094,Charensat,19440,385,3.7,13.7,-1.22,470,75.3
63095,Charnat,23170,109,0,7.3,-0.24,207,82.1
63096,Chas,24010,190,4.7,21.8,-0.81,361,71.8
63097,Chassagne,N/A - secret statistique,77,5.2,7.9,0.67,76,76.9
63098,Chastreix,22120,356,15.4,14.8,0,226,82.1
63099,Châteaugay,26340,1540,12.7,22.6,0.29,3189,78.7
63100,Châteauneuf-les-Bains,21030,309,10.1,10.9,-0.81,301,80
63101,Château-sur-Cher,N/A - secret statistique,102,0,5.1,-0.69,71,63.2
63102,Châteldon,21210,611,9.1,19.4,-0.72,740,78.3
63103,Châtel-Guyon,25780,4019,38.1,28.3,0.39,6299,76.7
63104,La Chaulme,21420,204,1,10.6,0.43,118,72.1
63105,Chaumont-le-Bourg,20810,170,1.7,15.5,0.5,238,77
63106,Chauriat,24720,858,7.1,19.3,1.23,1805,80.3
63107,Chavaroux,26110,210,3.8,14.6,1.74,529,83
63108,Le Cheix-sur-Morge,25730,338,7.4,17.3,0.79,695,80.3
63109,Les Deux-Rives,22840,434,4,16.7,-0.96,825,78.5
63110,Cisternes-la-Forêt,20840,294,4.1,10.2,-0.66,443,77.1
